StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,...18,...19,Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Gender_5_TEXT,Hispanic,Race,Political aff.,Political aff._4_TEXT,Independent Q,Education,Income
2023-12-21 14:54:05,2023-12-21 14:56:11,100,125,True,2023-12-21 14:56:11,R_1wuhKR7e8QHyRU2,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"To transfer black people, it is about 80% of the cost. Option B is close at 75%",1982,Man,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 14:53:15,2023-12-21 14:56:11,100,175,True,2023-12-21 14:56:11,R_63QCNjwbc44Pbjj,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"I don’t think it should be allocated by race. Plus, this was the option that helped the 2nd most people",1986,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 14:51:41,2023-12-21 14:56:30,100,288,True,2023-12-21 14:56:30,R_6ZCiHF811hM0P3S,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,"Because the most people avoided jail, with that option.",1990,Woman,NA,No,White or Caucasian,No preference,NA,NA,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 14:55:35,2023-12-21 14:57:09,100,94,True,2023-12-21 14:57:09,R_6BEysGOuWkrmFZn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Because it got the most people out of jail,2002,Man,NA,No,White or Caucasian,No preference,NA,NA,"Some college, but no degree",Prefer not to say
2023-12-21 14:53:02,2023-12-21 14:57:45,100,283,True,2023-12-21 14:57:46,R_7eSDJZmBGyRvQiZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"The even cost for each race would not send a message of any sort of bias, something I am sure that woulc cause this program to shut down if they felt white people were getting charged more.",1986,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-21 14:56:45,2023-12-21 15:00:00,100,194,True,2023-12-21 15:00:00,R_6c6MGVuwJblzlnk,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"I allocated more to Black people because they tend to live farther away. However, I still wanted to award some to White people, because, even though they are closer, they still may need help to get to court. Because White people in this scenario tend to need less money to get to court, this solution feels equitable.",1994,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$100,000 to $149,999"
2023-12-21 14:57:42,2023-12-21 15:00:44,100,181,True,2023-12-21 15:00:44,R_5menKln6vBcudpy,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It is equal for both races.,1951,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Some high school or less,"$20,000 to $29,999"
2023-12-21 14:58:35,2023-12-21 15:01:49,100,194,True,2023-12-21 15:01:50,R_7qVSmHHhx4A7F0u,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"The program was designed to reduce the jail time of the population that struggled the most with transportation. Therefore, the population that lives farther from the courthouse should receive more funds.",1993,Man,NA,No,"White or Caucasian,Other",Independent,NA,Republican,Associates or technical degree,"$30,000 to $39,999"
2023-12-21 15:01:29,2023-12-21 15:02:31,100,61,True,2023-12-21 15:02:31,R_5q8TspwcD0R1ghr,NA,NA,NA,NA,anonymous,EN,5 people who live close to court,5 Black people,Option B,NA,not sure,1993,Man,NA,No,White or Caucasian,Independent,NA,Republican,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 15:02:12,2023-12-21 15:03:28,100,75,True,2023-12-21 15:03:28,R_3PbMu6KAVgFNH65,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"Black people are dispropartieonly disadvantaged, so they need it more.",1996,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:01:27,2023-12-21 15:03:38,100,131,True,2023-12-21 15:03:39,R_5TN8UaZZSNyvPxM,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I had equality in mind,1968,Man,NA,Yes,White or Caucasian,Independent,NA,Republican,High school diploma or GED,"$60,000 to $69,999"
2023-12-21 15:02:32,2023-12-21 15:04:05,100,92,True,2023-12-21 15:04:05,R_5YfIRiP0hn1LQMp,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,it seemed like the fairest option,1991,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$50,000 to $59,999"
2023-12-21 14:59:55,2023-12-21 15:04:08,100,252,True,2023-12-21 15:04:08,R_778eghYTYzqFC5X,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"It would be unfair to give one race more preferential treatment than the other, even though one is at a disadvantage.  Nobody forced anyone to live in a certain area. I think the money would be better distributed by location and not race (if you live so many miles away you are allotted more money)",1989,Man,NA,No,White or Caucasian,Independent,NA,Republican,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:01:44,2023-12-21 15:04:10,100,145,True,2023-12-21 15:04:10,R_1Wa33ZwE6dgyEgN,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,Equality,1991,Man,NA,No,White or Caucasian,Other,NA,NA,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 15:01:12,2023-12-21 15:04:14,100,182,True,2023-12-21 15:04:15,R_5CodIhw7aJPq2bf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Option B keeos the most people out of jail.,1968,Man,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$150,000 or more"
2023-12-21 15:01:41,2023-12-21 15:04:28,100,167,True,2023-12-21 15:04:28,R_5jZGi9LnapuPSwV,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It kept the most people out of jail.,1989,Non-binary,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$70,000 to $79,999"
2023-12-21 15:03:21,2023-12-21 15:04:54,100,92,True,2023-12-21 15:04:54,R_5qCdID3BlUsv9C9,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Greatest good for the population as a whole.,1980,Man,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:02:38,2023-12-21 15:04:59,100,141,True,2023-12-21 15:04:59,R_7TEzIBtAqdcabsZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,I wanted to help the people that lived farther away while still not abandoning the people that live closer.,1993,Man,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 15:00:26,2023-12-21 15:05:01,100,275,True,2023-12-21 15:05:02,R_3iqjM3izB0JvD1f,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,This seems to be the most equity - oriented decision that allocates money where it is needed the most,1997,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:03:38,2023-12-21 15:05:29,100,111,True,2023-12-21 15:05:30,R_7q2NVox63T9KQt2,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,The government money is spent equally regardless of race whilst still helping a large number of people from avoiding jail time.,1990,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:03:08,2023-12-21 15:05:35,100,147,True,2023-12-21 15:05:36,R_7yRn9HBAkMiJ8nn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It seemed more fair to give equal amounts instead of allocating more or less to different people and affecting the amount of people who got to avoid jail more greatly.,2000,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$40,000 to $49,999"
2023-12-21 15:02:08,2023-12-21 15:05:37,100,209,True,2023-12-21 15:05:38,R_5aDFTsHwFsNWDIV,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I believe in equality.,1961,Man,NA,No,White or Caucasian,Independent,NA,Republican,Associates or technical degree,"$70,000 to $79,999"
2023-12-21 15:02:45,2023-12-21 15:05:43,100,178,True,2023-12-21 15:05:43,R_6rIPbDBINzMgKnC,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,Overall Black people need the money more but it would be unfair not to help white people too. I believe that Black people should get more as 80 compared to 20 is a lot more.,2004,Non-binary,NA,Yes,Prefer not to say,Democrat,NA,NA,"Some college, but no degree","$10,000 to $19,999"
2023-12-21 15:01:46,2023-12-21 15:05:45,100,239,True,2023-12-21 15:05:45,R_5wmRVAsskEE8bJL,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It was the only allocation that makes sense as everyone would be getting equal access to the transportation funds,1996,Man,NA,No,"White or Caucasian,American Indian/Native American or Alaska Native",Independent,NA,Republican,"Some college, but no degree","$150,000 or more"
2023-12-21 15:04:23,2023-12-21 15:05:48,100,85,True,2023-12-21 15:05:48,R_7wzY97PbKUXroMp,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It prevented the most people from going to jail.,1989,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 14:59:54,2023-12-21 15:05:53,100,358,True,2023-12-21 15:05:54,R_5g25czqJQ9dv1Sl,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"it's a moronic question. I would not base my decision on white vs black. maybe based on distance, to ensure that everyone pays the same amount. even if the ratio doesn't result in the most jail avoidance, I'd still work to make sure people paid similar amounts regardless of distance (and ignoring race, ya racist you)",1970,Man,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:04:41,2023-12-21 15:05:57,100,76,True,2023-12-21 15:05:57,R_58RXSEZvvRz8G5j,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I think this is the most equitable distribution of resources.,2002,Man,NA,No,Asian,Independent,NA,Democrat,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 15:04:52,2023-12-21 15:06:18,100,86,True,2023-12-21 15:06:18,R_6yNdRnfwV3WcdK9,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,i would like to be fair,1978,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 15:04:55,2023-12-21 15:06:37,100,101,True,2023-12-21 15:06:37,R_6yq0fAkGxhrz8EL,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Black people are significantly more likely to be charged with a crime, so they should have the majority of the assistance.",1988,Man,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$40,000 to $49,999"
2023-12-21 15:04:08,2023-12-21 15:06:39,100,150,True,2023-12-21 15:06:39,R_5gZeewLlHSALFJD,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,It typically costs black people more to get to court and so should be allocated more money,1955,Man,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$40,000 to $49,999"
2023-12-21 15:03:11,2023-12-21 15:06:59,100,228,True,2023-12-21 15:07:00,R_1duPBPZg0bSPb5v,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,This option felt most fair because it was equally split between black and white people. It’s still allowed a lot of people to avoid jail time.,1993,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:04:45,2023-12-21 15:07:03,100,137,True,2023-12-21 15:07:03,R_3EOTmQm3lduUTqp,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It was the most equal.,2001,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$10,000 to $19,999"
2023-12-21 15:03:13,2023-12-21 15:07:20,100,247,True,2023-12-21 15:07:21,R_7azNB6XGRwzoi7d,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,I felt that giving most of the money to the black population was the preferred option because they are the most affected by this situation. However I wanted to make sure that there was still some left for other people to get rides too who need it.,2000,Man,NA,No,White or Caucasian,Independent,NA,Republican,Some high school or less,"Less than $10,000"
2023-12-21 15:05:29,2023-12-21 15:07:36,100,127,True,2023-12-21 15:07:36,R_3tW9cCNUhDzrwlP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,based on how far black v white live,1999,Woman,NA,Yes,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$40,000 to $49,999"
2023-12-21 15:05:21,2023-12-21 15:07:41,100,140,True,2023-12-21 15:07:41,R_5MaEU6rGGzd0tgZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,My choice based on fairness,1991,Man,NA,No,Black or African American,Independent,NA,Democrat,High school diploma or GED,"Less than $10,000"
2023-12-21 15:06:08,2023-12-21 15:07:56,100,107,True,2023-12-21 15:07:56,R_7EbPuKzRdpWbbiT,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,This option keeps the most people out of jail.,1979,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:05:17,2023-12-21 15:08:00,100,163,True,2023-12-21 15:08:01,R_3O8LU20HsD2J2Ka,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,White people can live far from the court house as well.,1982,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:02:57,2023-12-21 15:08:27,100,330,True,2023-12-21 15:08:28,R_7KGvbeooEuHvuCQ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"I think funds should be used to help those who might live farther, because those who live to the court house may live close enough to afford or live within walking distance of the courthouse",2000,Man,NA,Yes,White or Caucasian,Independent,NA,Republican,High school diploma or GED,"$70,000 to $79,999"
2023-12-21 15:05:40,2023-12-21 15:08:30,100,169,True,2023-12-21 15:08:30,R_5Vf1Ajp73ppWNVf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I would want all possible crime people to be treated equal and get the same opportunity to avoid jail like everyone else.,1996,Man,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$40,000 to $49,999"
2023-12-21 15:05:16,2023-12-21 15:08:43,100,206,True,2023-12-21 15:08:43,R_6GUp8cn5ThwJacg,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,This allocation keeps the most people out of jail,1994,Woman,NA,No,Black or African American,Independent,NA,Democrat,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:06:58,2023-12-21 15:08:50,100,111,True,2023-12-21 15:08:50,R_3FgPrvjbsFcKICz,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It resulted in the most possible people avoiding jail.,1996,Man,NA,Yes,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 15:04:34,2023-12-21 15:08:59,100,264,True,2023-12-21 15:08:59,R_7mlYjBYJehMaTEv,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,"Ignoring race, we should opt to provide the transportation services to those who need it most. Option D will help the most people avoid jail time so we should go with that option",1998,Man,NA,No,"White or Caucasian,Asian",Democrat,NA,NA,Associates or technical degree,"$30,000 to $39,999"
2023-12-21 15:04:50,2023-12-21 15:09:00,100,249,True,2023-12-21 15:09:01,R_6fTAVqjpLj1A3dF,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Because the travel costs so much more, it makes sense to subsidize the expenses.  It isn't necessarily a race issue; more about finances",1969,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:06:16,2023-12-21 15:09:20,100,183,True,2023-12-21 15:09:20,R_3Et7ls6qKRAfqvS,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,It helped the most people to avoid jail,1947,Man,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 14:56:19,2023-12-21 15:09:23,100,783,True,2023-12-21 15:09:23,R_3z0S54tJcLm41j3,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,Black people are put into jail more so that’ll keep the certain percentage down,2003,Woman,NA,No,Black or African American,No preference,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:05:14,2023-12-21 15:09:24,100,250,True,2023-12-21 15:09:25,R_3SmOvLKvv9QDLQ5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,Seems fair being black people live farther from the courthouse than the white people,1966,Woman,NA,No,Black or African American,Democrat,NA,NA,High school diploma or GED,"Less than $10,000"
2023-12-21 15:07:17,2023-12-21 15:09:25,100,127,True,2023-12-21 15:09:26,R_1IRfn4aqpXVcaqH,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,Its equal and allowed quite a few people to avoid jail time,1985,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$70,000 to $79,999"
2023-12-21 15:05:36,2023-12-21 15:09:33,100,236,True,2023-12-21 15:09:34,R_52xKYdpFUwTemP1,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Because it means the highest number of people avoid jail time,1993,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$50,000 to $59,999"
2023-12-21 15:07:42,2023-12-21 15:09:38,100,116,True,2023-12-21 15:09:38,R_3mzp7dEbYSiY7Ic,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Black people required more funds to assist with their travel, this option doesnt exclude white people, and the amount of people avoiding jail was a good number.",1988,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$40,000 to $49,999"
2023-12-21 15:04:46,2023-12-21 15:09:45,100,299,True,2023-12-21 15:09:45,R_6IKSqhYuArbmkLj,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,The black people live farther away and need help with the rides more. White are closer to court so they don't need as much help with cost of rides.,1964,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:07:17,2023-12-21 15:09:45,100,148,True,2023-12-21 15:09:45,R_5bEYQ89Tc34cHsd,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It resulted in the most amount of people avoiding jail.,1995,Man,NA,No,White or Caucasian,Other,Progressive,NA,High school diploma or GED,"$10,000 to $19,999"
2023-12-21 15:07:31,2023-12-21 15:09:50,100,139,True,2023-12-21 15:09:51,R_3jZPfhWT6GgBybe,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,To try to distribute the money in proportion to the amount needed to get to court. 80/20,1956,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$40,000 to $49,999"
2023-12-21 15:07:20,2023-12-21 15:09:53,100,152,True,2023-12-21 15:09:54,R_5SpDkf8r4xjCvoZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,I selected it based on the number of people that the distribution allocation helps to avoid jail time due to missed court sessions.,1977,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:08:09,2023-12-21 15:10:05,100,115,True,2023-12-21 15:10:06,R_3XbhwU56UgiSoQp,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"I chose option D because if the population is split directly in the middle and the ore expensive rides are for Black people, then I will give the majority of money to the Black population.",1976,Man,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:08:26,2023-12-21 15:10:06,100,99,True,2023-12-21 15:10:06,R_7PXejrT449Yiipr,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,it was the fairest in my opinion,1974,Man,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$50,000 to $59,999"
2023-12-21 15:06:17,2023-12-21 15:10:15,100,237,True,2023-12-21 15:10:16,R_1gLP3rlVJVSDYFO,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I believe it is beause I am a Libra and the scales in my thinking always need to be balanced therefore 50-50 seemed reasonable. I was going to choose option D because more people avoid jail that way but there was not enough $ for the blacks.,NA,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:08:22,2023-12-21 15:10:52,100,150,True,2023-12-21 15:10:53,R_7MndkqAYqkmr2ZH,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"Something like ""fairness"" and ""equity"" doesn't always mean 1:1 or treat everyone equally, more help should go where it is needed more",1985,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:07:28,2023-12-21 15:11:19,100,231,True,2023-12-21 15:11:19,R_1ILThplolm2Omdx,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Because that choice seemed to help the most people avoid jail.,1986,Woman,NA,No,White or Caucasian,Other,Moderate,NA,"Some college, but no degree","$10,000 to $19,999"
2023-12-21 15:06:33,2023-12-21 15:11:20,100,287,True,2023-12-21 15:11:21,R_31GSbgAXSeJhWhp,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Because on average black people live farther away from the courthouse than black people, it seems logical to provide more assistance to black peoples.",1952,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:09:11,2023-12-21 15:11:48,100,157,True,2023-12-21 15:11:49,R_7vkXPP5vvasptip,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,I chose the option that will prevent the most people from going to jail,1957,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 to $59,999"
2023-12-21 15:09:21,2023-12-21 15:11:49,100,147,True,2023-12-21 15:11:50,R_5d1cVIXABH2oUbD,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option E,NA,idk it just felt right,1996,Woman,NA,Yes,Black or African American,Independent,NA,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:09:12,2023-12-21 15:11:58,100,165,True,2023-12-21 15:11:58,R_32KK7vEndgKmFtd,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It seemed to be a good balance between having a large number of people avoid jail and distributing the money equally between different racial groups.,1982,Woman,NA,No,Asian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$80,000 to $89,999"
2023-12-21 15:09:27,2023-12-21 15:12:19,100,171,True,2023-12-21 15:12:19,R_7dt2kfxyXxfjtGn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,There are more black people that live further and its more expensive for them so majority of they money should be allocated to them,1995,Man,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-21 15:10:03,2023-12-21 15:12:29,100,145,True,2023-12-21 15:12:30,R_1kSLNQz1kqiw0vf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It made the most people avoid jail time,1999,Non-binary,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$30,000 to $39,999"
2023-12-21 15:09:57,2023-12-21 15:12:30,100,153,True,2023-12-21 15:12:31,R_18KQbKSQgPFG3aF,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"The ratio of Scenario B most equitably accounted for the ratio of the cost for the rideshare based on where people of each race live. Also, Scenario B also prevented significantly more people from jail than A.",1998,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:10:44,2023-12-21 15:12:53,100,128,True,2023-12-21 15:12:53,R_70ixePy2lAWsIHC,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,more people avoid jail with my pick. so to me it seems like those people need the most help.,1979,Woman,NA,No,"White or Caucasian,Asian",Independent,NA,Democrat,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 15:10:10,2023-12-21 15:12:53,100,162,True,2023-12-21 15:12:54,R_7Sr8CCpCuVNF7nI,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"I honestly wanted to give more to black people initially, but I also wanted to help as many people avoid jail as possible.  So I went with the middle option that seemed the most fair.",1981,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$50,000 to $59,999"
2023-12-21 15:11:11,2023-12-21 15:12:56,100,104,True,2023-12-21 15:12:56,R_1CPTOrZIq58gKny,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,I chose that scenario because it meant that the most people would avoid jail time. That was the sole reason for my decision,1981,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 15:10:29,2023-12-21 15:12:59,100,150,True,2023-12-21 15:13:00,R_7xxpwRz3chHDqdr,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,We should all be equal,1965,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$60,000 to $69,999"
2023-12-21 15:08:58,2023-12-21 15:13:00,100,242,True,2023-12-21 15:13:01,R_697yLjI8qQo4Uy5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Option B helped the most people avoid jail. I didn't really pay attention to whether they were black or white.,1952,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Associates or technical degree,"$10,000 to $19,999"
2023-12-21 15:11:02,2023-12-21 15:13:09,100,127,True,2023-12-21 15:13:10,R_7fjRGgsj0QFURzt,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"it doesn't make sense how allocated more money to those who live closer would keep more people out of jail, but the one I chose was the most fair.",1981,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$50,000 to $59,999"
